id,context,en,ar,ur,notes,reviewed
state.empty.generic,state,Nothing here yet.,لا يوجد شيء هنا بعد.,ابھی یہاں کچھ نہیں ہے۔,,false
state.loading.generic,state,Loading…,جارٍ التحميل…,لوڈ ہو رہا ہے…,,false
state.error.generic,state,"Something went wrong. Retry, or contact the manager.",حدث خطأ ما. أعد المحاولة أو تواصل مع المدير.,کچھ غلط ہو گیا۔ دوبارہ کوشش کریں یا منیجر سے رابطہ کریں۔,,false
state.offline.generic,state,Offline. Changes are saved on this device and sync when the connection returns.,غير متصل. تُحفظ التغييرات على هذا الجهاز وتُزامن عند عودة الاتصال.,آف لائن۔ تبدیلیاں اس ڈیوائس پر محفوظ ہیں اور کنکشن واپس آنے پر سنک ہوں گی۔,,false
state.locked.generic,state,A manager PIN is needed for this action.,هذا الإجراء يتطلب رمز المدير.,اس عمل کے لیے منیجر پن درکار ہے۔,,false
state.success.generic,state,Done.,تم.,ہو گیا۔,,false
state.empty.list,state,No records yet. Create the first one.,لا توجد سجلات بعد. أنشئ السجل الأول.,ابھی کوئی ریکارڈ نہیں۔ پہلا ریکارڈ بنائیں۔,,false
state.loading.list,state,Loading list…,جارٍ تحميل القائمة…,فہرست لوڈ ہو رہی ہے…,,false
state.error.list,state,The list could not be loaded. Retry.,تعذّر تحميل القائمة. أعد المحاولة.,فہرست لوڈ نہیں ہو سکی۔ دوبارہ کوشش کریں۔,,false
state.offline.list,state,Showing the last saved list. Edits are queued.,عرض آخر قائمة محفوظة. التعديلات في قائمة الانتظار.,آخری محفوظ فہرست دکھائی جا رہی ہے۔ ترامیم قطار میں ہیں۔,,false
state.locked.list,state,Manager PIN needed to edit this list.,رمز المدير مطلوب لتعديل هذه القائمة.,اس فہرست میں ترمیم کے لیے منیجر پن درکار ہے۔,,false
state.success.list,state,Saved.,تم الحفظ.,محفوظ ہو گیا۔,,false
state.empty.form,state,Fill in the fields to continue.,املأ الحقول للمتابعة.,جاری رکھنے کے لیے خانے پُر کریں۔,,false
state.loading.form,state,Saving…,جارٍ الحفظ…,محفوظ ہو رہا ہے…,,false
state.error.form,state,Some fields need attention. Fix them and save again.,بعض الحقول تحتاج مراجعة. صحّحها واحفظ مرة أخرى.,کچھ خانوں پر توجہ درکار ہے۔ درست کریں اور دوبارہ محفوظ کریں۔,,false
state.offline.form,state,Saved on this device. It will sync when online.,تم الحفظ على هذا الجهاز وسيُزامن عند الاتصال.,اس ڈیوائس پر محفوظ ہے۔ آن لائن ہوتے ہی سنک ہوگا۔,,false
state.locked.form,state,Manager PIN needed to change this.,رمز المدير مطلوب لتغيير هذا.,اس تبدیلی کے لیے منیجر پن درکار ہے۔,,false
state.success.form,state,Saved.,تم الحفظ.,محفوظ ہو گیا۔,,false
state.empty.order-entry,state,Tap an item to start the order.,اضغط على صنف لبدء الطلب.,آرڈر شروع کرنے کے لیے کسی آئٹم پر ٹیپ کریں۔,,false
state.loading.order-entry,state,Loading menu…,جارٍ تحميل القائمة…,مینو لوڈ ہو رہا ہے…,,false
state.error.order-entry,state,The menu could not be loaded. Retry.,تعذّر تحميل القائمة. أعد المحاولة.,مینو لوڈ نہیں ہو سکا۔ دوبارہ کوشش کریں۔,,false
state.offline.order-entry,state,Offline. Orders are saved here and sent when the connection returns.,غير متصل. تُحفظ الطلبات هنا وتُرسل عند عودة الاتصال.,آف لائن۔ آرڈر یہاں محفوظ ہیں اور کنکشن بحال ہونے پر بھیجے جائیں گے۔,,false
