id,name,mood,industry_tags,primary,primary_fg,secondary,accent,bg,surface,surface_alt,text,text_muted,border,success,warning,danger,info,dark_bg,dark_surface,dark_text
indigo-calm,Indigo Calm,"calm, trustworthy","saas,admin,crm,erp",#2e40b8,#ffffff,#6745a1,#a5931d,#ffffff,#f9f9fb,#f0f1f4,#171926,#5a5d72,#8a8ea8,#279b57,#b36f0f,#aa1818,#1d78a5,#14151a,#1d1e25,#e9e9ec
indigo-calm-soft,Indigo Calm Soft,"calm, trustworthy, softer","saas,admin,crm,erp",#4b559b,#ffffff,#6d5c8a,#9b8e3b,#ffffff,#f9f9fb,#f0f1f4,#171926,#5a5d72,#8a8ea8,#279b57,#b36f0f,#aa1818,#1d78a5,#14151a,#1d1e25,#e9e9ec
indigo-calm-bold,Indigo Calm Bold,"calm, trustworthy, bolder","saas,admin,crm,erp",#1d34c9,#ffffff,#6234b2,#a5910d,#ffffff,#f9f9fb,#f0f1f4,#171926,#5a5d72,#8a8ea8,#279b57,#b36f0f,#aa1818,#1d78a5,#14151a,#1d1e25,#e9e9ec
teal-clinic,Teal Clinic,"clean, clinical","hms,health,booking",#2fa29e,#0b0b0b,#4b759b,#b1252a,#ffffff,#f9fbfb,#f0f4f4,#172626,#5a7271,#759998,#279b57,#b36f0f,#aa1818,#1d78a5,#141a1a,#1d2525,#e9ecec
teal-clinic-soft,Teal Clinic Soft,"clean, clinical, softer","hms,health,booking",#509593,#0b0b0b,#5c748a,#964043,#ffffff,#f9fbfb,#f0f4f4,#172626,#5a7271,#759998,#279b57,#b36f0f,#aa1818,#1d78a5,#141a1a,#1d2525,#e9ecec
teal-clinic-bold,Teal Clinic Bold,"clean, clinical, bolder","hms,health,booking",#1ca09c,#0b0b0b,#3977ac,#c1151b,#ffffff,#f9fbfb,#f0f4f4,#172626,#5a7271,#759998,#279b57,#b36f0f,#aa1818,#1d78a5,#141a1a,#1d2525,#e9ecec
ember-kitchen,Ember Kitchen,"warm, energetic","restaurant,pos,food",#ca4c16,#ffffff,#ab922b,#0b92cb,#ffffff,#fbf9f9,#f4f1f0,#261c17,#72615a,#a48d84,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1614,#25201d,#eceae9
ember-kitchen-soft,Ember Kitchen Soft,"warm, energetic, softer","restaurant,pos,food",#b25a34,#ffffff,#9b8b4b,#2587b1,#ffffff,#fbf9f9,#f4f1f0,#261c17,#72615a,#a48d84,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1614,#25201d,#eceae9
ember-kitchen-bold,Ember Kitchen Bold,"warm, energetic, bolder","restaurant,pos,food",#e04706,#0b0b0b,#ae9019,#0b92cb,#ffffff,#fbf9f9,#f4f1f0,#261c17,#72615a,#a48d84,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1614,#25201d,#eceae9
olive-market,Olive Market,"grounded, fresh","retail,grocery,pos",#659f3c,#0b0b0b,#568f5b,#7530a6,#ffffff,#fafbf9,#f2f4f0,#1d2617,#64725a,#849975,#279b57,#b36f0f,#aa1818,#1d78a5,#161a14,#20251d,#eaece9
olive-market-soft,Olive Market Soft,"grounded, fresh, softer","retail,grocery,pos",#6e8f56,#0b0b0b,#5c8a60,#714691,#ffffff,#fafbf9,#f2f4f0,#1d2617,#64725a,#849975,#279b57,#b36f0f,#aa1818,#1d78a5,#161a14,#20251d,#eaece9
