id,name,description,density,radius,shadow,border,motion_level,best_for,avoid_for,css_keywords
operational-flat,Operational Flat,"Flat surfaces, strong borders, zero decoration; built for speed",high,4px,none,1px solid,low,"pos,queue,warehouse",marketing,"flat,dense,border"
high-contrast-operational,High-contrast Operational,"Large type, 7:1 text, thick focus rings, colour+icon semantics",high,6px,none,2px solid,low,"pos,queue,kiosk,outdoor",editorial,"contrast,large,thick"
soft-saas,Soft SaaS,"Rounded cards, gentle shadows, generous whitespace",medium,12px,sm,1px subtle,medium,"saas,crm,admin",queue,"rounded,soft,card"
glass,Glass,"Translucent panels, blur, layered depth",medium,16px,lg,1px translucent,high,"landing,consumer apps","pos,receipts","blur,translucent,layered"
editorial,Editorial,"Serif display, long measure, strong grid",low,0px,none,hairline,low,"content,landing,reports",pos,"serif,grid,hairline"
brutalist,Brutalist,"Raw borders, mono labels, hard edges",medium,0px,hard,2px solid,low,"dev tools,creator","hms,fintech","mono,raw,hard"
fintech-dark,Fintech Dark,"Dark surfaces, dense tables, tabular numerals, restrained accent",high,6px,none,1px subtle,low,"trading,wallet,analytics",edtech,"dark,dense,tabular"
clinical-calm,Clinical Calm,"Cool neutrals, clear hierarchy, reassuring",medium,8px,sm,1px subtle,low,"hms,health,booking",queue,"cool,calm,clear"
retail-bright,Retail Bright,"Bright accent, big product tiles, price-forward",high,8px,sm,1px solid,medium,"retail,pos,marketplace",erp,"bright,tiles,price"
enterprise-dense,Enterprise Dense,"Compact rows, tabs, toolbars, minimal chrome",high,4px,none,1px solid,low,"erp,crm,admin",landing,"compact,toolbar,tabs"
hospitality-warm,Hospitality Warm,"Warm neutrals, serif accents, soft imagery",medium,10px,sm,1px subtle,medium,"hotel,hospitality,booking",queue,"warm,serif,imagery"
kiosk-large,Kiosk Large,"Very large targets, single task per screen, high contrast",low,12px,none,2px solid,low,"kiosk,self-order,queue",admin,"large,single-task"
mobile-native,Mobile Native,"Platform components, bottom tabs, sheets",medium,10px,sm,hairline,medium,"mobile,consumer",desktop admin,"native,tabs,sheets"
dashboard-analytic,Dashboard Analytic,"Card grid, one chart per card, KPI row",medium,8px,sm,1px subtle,low,"analytics,owner dashboards",pos,"cards,kpi,chart"
government-plain,Government Plain,"Plain language, large forms, no decoration",low,4px,none,1px solid,low,"gov,forms,compliance",marketing,"plain,forms"
edtech-playful,EdTech Playful,"Rounded, colourful accents, progress cues",medium,14px,sm,1px subtle,medium,"edtech,kids",fintech,"rounded,colour,progress"
logistics-industrial,Logistics Industrial,"Condensed headings, status colours, barcode-first",high,4px,none,1px solid,low,"logistics,warehouse,fleet",landing,"condensed,status,barcode"
marketplace-vivid,Marketplace Vivid,"Image-led cards, badges, promos",medium,12px,sm,none,medium,"marketplace,ecommerce",pos,"image,badge,promo"
messaging-chat,Messaging Chat,"Bubbles, threads, quick replies",medium,16px,none,none,medium,"whatsapp,messaging,support",erp,"bubble,thread"
property-showcase,Property Showcase,"Large imagery, maps, spec tables",low,10px,sm,1px subtle,medium,"property,real estate",queue,"imagery,map,spec"
minimal-mono,Minimal Mono,"Monochrome, one accent, typographic",medium,2px,none,hairline,low,"portfolio,dev tools",retail,"mono,typographic"
wizard-guided,Wizard Guided,"Stepper, one question per screen, progress",low,8px,sm,1px subtle,medium,"onboarding,setup,forms",pos,"stepper,guided"
table-first,Table First,Data table is the page; filters and bulk bar,high,4px,none,1px solid,low,"admin,ops,back office",landing,"table,filters,bulk"
map-centric,Map Centric,Map canvas with overlay panels,medium,8px,md,1px subtle,medium,"logistics,delivery,property",pos,"map,overlay"
print-ready,Print Ready,"Monochrome, 80 mm and A4 layouts, no colour dependence",high,0px,none,1px solid,none,"receipts,reports,labels",landing,"print,mono"
calm-neutral,Calm Neutral,"Muted palette, ample whitespace, quiet motion",low,8px,sm,1px subtle,low,"wellness,saas,notes",queue,"muted,quiet"
