id,heading_font,body_font,mono_font,arabic_font,urdu_font,scale_ratio,base_px,weights,mood,use_case,google_fonts_url
inter-system,Inter,Inter,JetBrains Mono,IBM Plex Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,600,700","neutral, operational","pos,admin,saas",https://fonts.google.com/specimen/Inter
plex-arabic,IBM Plex Sans,IBM Plex Sans,IBM Plex Mono,IBM Plex Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,600","technical, bilingual","pos,erp,fintech",https://fonts.google.com/specimen/IBM+Plex+Sans+Arabic
cairo-pair,Cairo,Cairo,JetBrains Mono,Cairo,Noto Nastaliq Urdu,1.25,16,"400,600,700","Arabic-first, friendly","retail,marketplace,gcc",https://fonts.google.com/specimen/Cairo
tajawal-pair,Tajawal,Tajawal,JetBrains Mono,Tajawal,Noto Nastaliq Urdu,1.25,16,"400,500,700","Arabic-first, modern","saas,landing,gcc",https://fonts.google.com/specimen/Tajawal
almarai-pair,Almarai,Almarai,JetBrains Mono,Almarai,Noto Nastaliq Urdu,1.2,16,"400,700","Arabic-first, clean","retail,hospitality",https://fonts.google.com/specimen/Almarai
noto-naskh,Inter,Inter,JetBrains Mono,Noto Naskh Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,600,700","formal, receipts","receipts,legal,hms",https://fonts.google.com/specimen/Noto+Naskh+Arabic
noto-kufi,Inter,Inter,JetBrains Mono,Noto Kufi Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,700",geometric Arabic headings,"landing,marketplace",https://fonts.google.com/specimen/Noto+Kufi+Arabic
gulzar-urdu,Inter,Inter,JetBrains Mono,Noto Naskh Arabic,Gulzar,1.2,16,"400,500,600",Urdu-first,"edtech,pk",https://fonts.google.com/specimen/Gulzar
manrope-modern,Manrope,Manrope,JetBrains Mono,IBM Plex Sans Arabic,Noto Nastaliq Urdu,1.25,16,"400,500,700",modern saas,"saas,landing",https://fonts.google.com/specimen/Manrope
dm-sans-soft,DM Sans,DM Sans,DM Mono,Tajawal,Noto Nastaliq Urdu,1.2,16,"400,500,700","soft, friendly","booking,hospitality",https://fonts.google.com/specimen/DM+Sans
space-grotesk-tech,Space Grotesk,Inter,Space Mono,IBM Plex Sans Arabic,Noto Nastaliq Urdu,1.25,16,"400,500,700","technical, expressive","fintech,dev tools",https://fonts.google.com/specimen/Space+Grotesk
source-sans-enterprise,Source Sans 3,Source Sans 3,Source Code Pro,Noto Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,600,700",enterprise,"erp,crm,admin",https://fonts.google.com/specimen/Source+Sans+3
public-sans-gov,Public Sans,Public Sans,JetBrains Mono,Noto Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,700","civic, plain","gov,hms,forms",https://fonts.google.com/specimen/Public+Sans
roboto-flex-ops,Roboto Flex,Roboto Flex,Roboto Mono,Noto Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,700",android-native operational,"pos,queue,android",https://fonts.google.com/specimen/Roboto+Flex
sf-like-hig,Inter,Inter,JetBrains Mono,Noto Sans Arabic,Noto Nastaliq Urdu,1.2,17,"400,500,600",HIG-like sizing,"ios,mobile",https://fonts.google.com/specimen/Inter
