id,family,control,level,source,applies_when,verify,implementation_hint
SEC-AUTH-01,auth,"Passwords at least 8 chars, up to 64+, all printable Unicode allowed",L1,ASVS-5.0 V6.2,always,test,zod schema on sign-up and reset
SEC-AUTH-02,auth,Reject passwords found in breach corpora,L1,ASVS-5.0 V6.2,always,test,k-anonymity check against HIBP range API or local top-100k list
SEC-AUTH-03,auth,No composition rules and no periodic rotation,L1,ASVS-5.0 V6.2,always,review,policy in ADR 0002
SEC-AUTH-04,auth,Credential stuffing and brute force throttled per account and per IP,L1,ASVS-5.0 V6.3,always,test,5 failures per 15 min then lockout 15 min; 429 with Retry-After
SEC-AUTH-05,auth,Staff PIN 4 to 6 digits hashed with Argon2id; lockout 60 s after 3 failures,L1,foundry,staff_pin,test,argon2id memory 64MB time 3; device verifies local hash offline
SEC-AUTH-06,auth,"Device enrolment token bound to branch, rotated on re-enrol, revocable from admin",L2,ASVS-5.0 V6.4,device_auth,test,opaque token in secure storage; server table device_tokens
SEC-AUTH-07,auth,"Password reset links single-use, 30 min validity, revoke other sessions on reset",L1,ASVS-5.0 V6.3,always,test,reset table with consumed_at
SEC-AUTH-08,auth,MFA available for owner and admin; enforced when payments enabled,L2,ASVS-5.0 V6.4,payments,test,TOTP with recovery codes
SEC-AUTH-09,auth,Generic error message for failed sign-in; no user enumeration,L1,ASVS-5.0 V6.3,always,test,same response for unknown user and wrong password
SEC-AUTH-10,auth,"SSO tokens validated for issuer, audience, expiry, nonce",L2,ASVS-5.0 V10,sso,test,openid-client library; no custom JWT parsing
SEC-AUTH-11,auth,Manager override records approver identity on the audit event,L1,foundry,manager_override,test,"approver_staff_id on OrderLine void, Discount, Refund"
SEC-AUTH-12,auth,Sign-in flow has no cognitive puzzle (WCAG 3.3.8); PIN and passkeys allowed,L1,foundry,always,review,no CAPTCHA on staff login; rate limit instead
SEC-AUTH-13,auth,Passkeys offered for back-office users where the platform supports them,L3,ASVS-5.0 V6.4,backoffice,review,WebAuthn with resident keys
SEC-AUTH-14,auth,Service accounts use short-lived credentials from the platform vault,L2,ASVS-5.0 V6.4,always,review,no long-lived API keys in env for internal services
SEC-SESS-01,session,Session tokens generated by the framework with 128+ bits of entropy,L1,ASVS-5.0 V7.2,always,review,framework session store
SEC-SESS-02,session,"Cookies httpOnly, secure, SameSite=Lax; __Host- prefix",L1,ASVS-5.0 V7.4,web,test,set-cookie header test
SEC-SESS-03,session,"Idle timeout 24 h for POS staff sessions, 30 d absolute for device tokens",L1,ASVS-5.0 V7.3,always,test,expires_at columns; sweep job
SEC-SESS-04,session,Session invalidated on logout and on password or PIN change,L1,ASVS-5.0 V7.3,always,test,delete sessions where staff_id
SEC-SESS-05,session,Sessions list with revoke for back-office users,L2,ASVS-5.0 V7.3,backoffice,test,settings profile screen
SEC-SESS-06,session,Shift-bound staff session ends at shift close on the device,L1,foundry,shifts,test,session.shift_id
SEC-SESS-07,session,"Re-authentication (PIN) before refunds, voids over threshold and settings changes",L2,ASVS-5.0 V7.5,money,test,step-up flag on sensitive operations
SEC-SESS-08,session,Bearer tokens for devices never in URLs or logs,L1,ASVS-5.0 V7.4,device_auth,scan,semgrep rule on logger calls
SEC-ACC-01,access,Every API operation declares its required role; default deny,L1,ASVS-5.0 V8.1,always,test,x-foundry.authz compiled to middleware table; test enumerates operations
SEC-ACC-02,access,Object-level authorization: branch and organisation scope checked on every read and write,L1,OWASP-API-Top10-2023 API1,always,test,RLS policies plus service-layer check
SEC-ACC-03,access,Function-level authorization for admin routes (/admin/*),L1,OWASP-API-Top10-2023 API5,always,test,role == owner
SEC-ACC-04,access,"Property-level authorization: clients cannot set server-owned fields (totals, state, branch_id)",L1,OWASP-API-Top10-2023 API3,always,test,allow-list DTOs; reject unknown fields
SEC-ACC-05,access,Row-level security in Postgres keyed by branch for device roles,L2,ASVS-5.0 V8.2,multi-branch,test,policy per table; app role without BYPASSRLS
SEC-ACC-06,access,Last owner cannot be demoted or disabled,L1,foundry,always,test,guard in role service
SEC-ACC-07,access,Role matrix stored server-side and synced to devices read-only,L1,ASVS-5.0 V8.1,always,review,permissions JSON per role
SEC-ACC-08,access,Cross-branch access only for owner roles via explicit branch switcher,L1,foundry,multi-branch,test,branch_id from session unless owner
SEC-ACC-09,access,Access decisions logged for denied attempts on money-moving operations,L2,ASVS-5.0 V16,money,test,audit event authz.denied
SEC-ACC-10,access,Authorization checks run server-side; UI hiding is not a control,L1,ASVS-5.0 V8.1,always,review,gate: every operation has authz
SEC-IN-01,input,All request bodies validated against a schema; unknown fields rejected,L1,ASVS-5.0 V2.1,always,test,zod or valibot from openapi components
SEC-IN-02,input,Numeric money inputs validated as decimal strings with minor-unit precision,L1,ASVS-5.0 V2.1,always,test,reject floats; parse with decimal.js
SEC-IN-03,input,Output encoding for HTML contexts; framework auto-escaping only,L1,ASVS-5.0 V1.2,web,scan,no dangerouslySetInnerHTML without sanitiser
SEC-IN-04,input,SQL only through the ORM or parameterised queries,L1,ASVS-5.0 V1.2,always,scan,semgrep: no string-built SQL
SEC-IN-05,input,"File uploads: type allow-list, size cap, image re-encode, virus scan when public",L2,ASVS-5.0 V5,uploads,test,menu images only; 5 MB; sharp re-encode
SEC-IN-06,input,Path traversal prevented on any file path derived from input,L1,ASVS-5.0 V5,uploads,scan,path.resolve within base
SEC-IN-07,input,Receipt and kitchen ticket text sanitised for ESC/POS control bytes,L1,foundry,printing,test,strip 0x00-0x1F except LF
SEC-IN-08,input,Barcode scanner input treated as untrusted text (no key injection),L1,foundry,scanner,test,wedge input goes to a controlled field only
SEC-IN-09,input,Deserialisation only of JSON; no eval or dynamic code from data,L1,ASVS-5.0 V1.5,always,scan,semgrep eval/new Function
SEC-IN-10,input,Query parameters for pagination bounded (limit ≤ 200),L1,ASVS-5.0 V2.1,always,test,schema max
SEC-CRY-01,crypto,TLS 1.2+ everywhere; HSTS with preload on the edge,L1,ASVS-5.0 V12,always,scan,platform TLS; header test
SEC-CRY-02,crypto,Passwords Argon2id; PINs Argon2id with per-branch salt,L1,ASVS-5.0 V11,always,review,libsodium or argon2 package
SEC-CRY-03,crypto,"Secrets in the platform vault; none in source, images or logs",L1,ASVS-5.0 V13,always,scan,gitleaks in CI; .env.example only
SEC-CRY-04,crypto,"Random values from CSPRNG (ids, tokens, receipt block nonces)",L1,ASVS-5.0 V11,always,scan,crypto.randomUUID / randomBytes
SEC-CRY-05,crypto,Device-local store encrypted at rest on tablets,L2,ASVS-5.0 V14,offline,review,OPFS with platform encryption; no PII cached beyond need
SEC-CRY-06,crypto,Webhook signatures verified with constant-time compare,L1,ASVS-5.0 V11,webhooks,test,timingSafeEqual
SEC-CRY-07,crypto,ZATCA cryptographic stamp keys stored per device in secure storage,L2,foundry,region=SA,review,onboarding via CSID; keys never leave device
SEC-DATA-01,data,"Card data never stored, logged or transmitted through the app (PAN, expiry, CVV)",L1,PCI-DSS-4.0 req 3,payments=card,scan,semgrep for card-like regex in logs; no PAN fields
SEC-DATA-02,data,"Only provider token, last four and scheme stored for refunds",L1,PCI-DSS-4.0 req 3,payments=card,review,payments table columns
SEC-DATA-03,data,Personal data minimised: customer phone and name optional; allergens per order not per person unless consented,L1,ASVS-5.0 V14,always,review,schema review
SEC-DATA-04,data,Data export and deletion on request with 30-day grace,L1,ASVS-5.0 V14,always,test,job plus audit event
SEC-DATA-05,data,"Retention job purges per data class (KDS tickets 90 d, PII 2 y inactive, financial 5-6 y)",L2,foundry,always,test,scheduled job with dry-run
SEC-DATA-06,data,"Backups encrypted, daily, restore drill quarterly",L2,ASVS-5.0 V14,always,review,runbook
SEC-DATA-07,data,Audit tables append-only via database grants,L1,foundry,always,test,"REVOKE UPDATE, DELETE"
SEC-DATA-08,data,PII masked in logs and error reports,L1,ASVS-5.0 V16,always,scan,logger redaction list
SEC-DATA-09,data,Data residency per region documented; AE and SA tenants in-region or with transfer basis,L2,foundry,"region in (AE,SA)",review,ADR 0004 names the region
SEC-DATA-10,data,Receipts and fiscal records immutable once issued; corrections by void plus new record,L1,foundry,always,test,receipt state machine
SEC-LOG-01,error-log,"Structured JSON logs with request id, device id, staff id, branch id",L1,ASVS-5.0 V16,always,review,pino with base bindings
SEC-LOG-02,error-log,"Every order, payment, refund, void, comp, discount, shift and menu price event audited with actor and approver",L1,ASVS-5.0 V16,always,test,audit middleware on transitions
SEC-LOG-03,error-log,Failed authorization and authentication attempts logged,L1,ASVS-5.0 V16,always,test,"authz.denied, auth.failed"
SEC-LOG-04,error-log,Generic error responses; stack traces never returned to clients,L1,ASVS-5.0 V16,always,test,error handler maps to Error schema
SEC-LOG-05,error-log,Log injection prevented (newline and control char encoding),L1,ASVS-5.0 V16,always,scan,JSON logger only
