id,name,tags,default_style,default_palette_tag,default_typography_tag,density,nav_pattern,key_screens,anti_patterns
restaurant-pos,Restaurant POS,"pos,restaurant,operational,food",high-contrast-operational,pos,operational,high,action-bar,"table-map,order-entry,tender,kds,shift-close,reports","modal-per-action,small-targets,hover-only"
kds,Kitchen Display,"kds,kitchen,operational,dark",high-contrast-operational,kds,operational,high,station-tabs,"kds,delivery-inbox","light-theme,small-text,colour-only"
retail-pos,Retail POS,"pos,retail,operational",retail-bright,retail,retail,high,action-bar,"checkout,product-search,inventory,returns,z-report","hover-only,small-targets"
supermarket-pos,Supermarket POS,"pos,retail,grocery,operational",operational-flat,retail,operational,high,action-bar,"checkout,product-search,z-report",image-heavy-tiles
pharmacy-pos,Pharmacy POS,"pos,retail,pharmacy,health",clinical-calm,hms,readability,high,action-bar,"checkout,product-search,inventory",playful-colour
trading-app,Trading App,"trading,fintech,dark,operational",fintech-dark,trading,dense,high,bottom-tabs,"watchlist,instrument,order-ticket,portfolio,pnl,kyc","light-only,animated-prices,red-green-only"
fintech-wallet,Fintech Wallet,"fintech,wallet,mobile",mobile-native,fintech,fintech,medium,bottom-tabs,"home,send,receive,history,kyc","dense-tables,jargon"
neobank,Neobank,"fintech,banking,mobile",mobile-native,fintech,fintech,medium,bottom-tabs,"accounts,transfer,cards,statements",clutter
erp-core,ERP Core,"erp,admin,dense",enterprise-dense,erp,enterprise,high,sidebar,"dashboard,list,detail,edit,reports,settings","marketing-chrome,large-whitespace"
erp-construction,Construction ERP,"erp,construction,projects",enterprise-dense,erp,enterprise,high,sidebar,"projects,boq,procurement,timesheets,reports",consumer-styling
erp-manufacturing,Manufacturing ERP,"erp,manufacturing,inventory",enterprise-dense,erp,enterprise,high,sidebar,"work-orders,bom,inventory,quality,reports",consumer-styling
crm,CRM,"crm,sales,admin",soft-saas,saas,saas,medium,sidebar,"pipeline,contacts,deals,activities,reports",dense-only
crm-whatsapp,WhatsApp CRM,"crm,whatsapp,messaging,saas",messaging-chat,whatsapp,saas,medium,sidebar,"inbox,contacts,templates,broadcasts,analytics",email-metaphors
