id,priority,category,platform,rule,anti_pattern,why,source,applies_to,check
A11Y-01,1,accessibility,all,Text contrast at least 4.5:1 against its background (large text 3:1),Grey-on-grey helper text at 3:1,Readable in sunlight and for low vision,WCAG2.2 1.4.3,"text,button,input,badge",auto
A11Y-02,1,accessibility,all,Non-text UI parts and state indicators at least 3:1 against adjacent colours,Light grey input borders on white,Controls must be findable,WCAG2.2 1.4.11,"input,button,icon,chip",auto
A11Y-03,1,accessibility,all,"Pointer targets at least 24x24 CSS px, with 44 recommended for touch",20px close icons in a row,Mis-taps on tablets,WCAG2.2 2.5.8,"button,icon-button,chip,tab",auto
A11Y-04,1,accessibility,all,"Focused element never fully hidden by sticky headers, footers or sheets",Focus lands under a sticky action bar,Keyboard users lose place,WCAG2.2 2.4.11,"sticky,dialog,sheet",review
A11Y-05,1,accessibility,all,Do not ask for information already entered in the same flow; autofill or prefill it,Re-typing the phone number at checkout,Cognitive load and errors,WCAG2.2 3.3.7,form,review
A11Y-06,1,accessibility,all,"No cognitive test for sign-in; PIN pads and passkeys allowed, no puzzles or transcription",CAPTCHA before staff login,Auth must be accessible,WCAG2.2 3.3.8,"pin-pad,login",review
A11Y-07,1,accessibility,all,Drag operations have a single-pointer alternative (select then move),Drag-only split-bill assignment,Motor impairments,WCAG2.2 2.5.7,"drag,list,table-map",review
A11Y-08,1,accessibility,all,Visible focus ring with 3:1 contrast and at least 2px thickness,outline: none without replacement,Keyboard navigation,WCAG2.2 2.4.7 2.4.13,"button,input,link",auto
A11Y-09,1,accessibility,all,Every image and icon-only control has a text alternative,Icon buttons with no aria-label,Screen readers,WCAG2.2 1.1.1,"icon-button,image",auto
A11Y-10,1,accessibility,all,Form fields have programmatic labels; placeholder is never the only label,Placeholder-as-label inputs,Labels vanish on entry,WCAG2.2 1.3.1 3.3.2,"input,select,textarea",auto
A11Y-11,1,accessibility,all,Errors identified in text next to the field and announced,Red border only,Colour-blind users and screen readers,WCAG2.2 3.3.1,"form,input",auto
